conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1856865841973006350,Thu Nov 14 04:23:49 +0000 2024,1,@PreciosaKanti Atur sajalah . Negara ini toh milik kalian . Biar sajah Rakyat mah di cekik aturanbdan pajak ppn 12 persen . Biar sajah rakyat mah yg penting bayar pajak agar bisa membayar kalian para bandot kekuasaan !!!!!!!,1856915919530070354,,PreciosaKanti,in,,0,0,0,https://x.com/prasilviat82682/status/1856915919530070354,1651581934655651841,prasilviat82682
1856877191935791175,Thu Nov 14 01:49:56 +0000 2024,0,Sri Mulyani akan tetap menerapkan tarif Pajak Pertambahan Nilai (PPN) 12 persen pada 1 Januari 2025. https://t.co/yjIv5sarwa,1856877191935791175,,,in,"Hounslow, London",0,0,0,https://x.com/IconMan17/status/1856877191935791175,1509654566736113668,IconMan17
1856830466059542958,Wed Nov 13 22:44:16 +0000 2024,0,Pajak hanya untuk rakyat. Pengusaha yang dapat pemutihan Pajak dan penikmat pajak di PSN. Penjualan Mobil Terancam Lesu Lagi karena PPN 12 Persen pada 2025 https://t.co/A1XZ1WzWui,1856830466059542958,,,in,,0,0,0,https://x.com/070Wid/status/1856830466059542958,1604130010553389058,070Wid
1856494431287030203,Wed Nov 13 01:46:40 +0000 2024,1,@Bryan_MyBoyx Nyang kost mah tiap bulan dibayar ma ortu lewat kiriman.. Kalo Nyang enniihh???... THN depan pajak 12 persen.. blm yg lainnya..,1856513981185438087,,Bryan_MyBoyx,in,"DKI Jakarta, Indonesia",0,1,0,https://x.com/Duren___/status/1856513981185438087,1501606510979256323,Duren___
1855980123553747140,Tue Nov 12 01:15:20 +0000 2024,0,@cnbcindonesia Selamat buat 58 % yg telah memilih keberlanjutan Pajak Rakyat kecil naik 12 % tapi Pajak Penguasa Importir BEBAS NOL PERSEN.,1856143710301630692,,cnbcindonesia,in,,0,0,0,https://x.com/BryokAceh/status/1856143710301630692,719084961039421440,BryokAceh
1854823398838288687,Sat Nov 09 14:28:41 +0000 2024,0,@arkaatmaja7 @msaid_didu Penjilat Mulyono Go Blog. Lu 2025 bakal kaing2 kena pajak 12 persen. Mending lu tobat dari sekarang Bol DobOl. Hentikan menjilat Mulyono Bollll.,1855256200373547345,,arkaatmaja7,in,,0,0,0,https://x.com/sasaranbina/status/1855256200373547345,2976157944,sasaranbina
1853364478374711757,Mon Nov 04 10:06:36 +0000 2024,0,@Puthutea Royalti buku 10 persen Pajak Pertambahan Nilai 11(+1%).. wkwkwk g ngapa2in dapat 12 persen yg bikin cuma 10%..,1853378302557491700,,Puthutea,in,Indonesia,0,0,0,https://x.com/andrikosasi/status/1853378302557491700,106999562,andrikosasi
1852531071403139144,Sat Nov 02 02:00:00 +0000 2024,0,Survei KedaiKOPI: 83 2% Responden Jabodetabek Menolak Wacana Kenaikan PPN 12 Persen https://t.co/mByFDOmEFB,1852531071403139144,,,in,,0,0,0,https://x.com/pajakcom/status/1852531071403139144,1340855282407108610,pajakcom
1852177530176049463,Fri Nov 01 02:35:09 +0000 2024,1,Apa Efek jika Pajak Naik Menjadi 12 Persen? Ini Dampaknya https://t.co/kztJa68NHp,1852177530176049463,,,in,,0,0,1,https://x.com/Fortune_IDN/status/1852177530176049463,1380017096390676483,Fortune_IDN
1851173128279318789,Tue Oct 29 08:04:01 +0000 2024,1,Menko Perekonomian Belum Bisa Memastikan Penerapan Kenaikan Pajak Menjadi 12 Persen via @kedaipenacom https://t.co/0Y9f9MQaTI,1851173128279318789,,,in,Indonesia,0,0,0,https://x.com/KedaiPenaCom/status/1851173128279318789,793719410275983361,KedaiPenaCom
1850762214468358333,Mon Oct 28 14:12:11 +0000 2024,0,@dimitology DIPOTONG PAJAK 12 persen ia?,1850903392874586614,,dimitology,in,,0,0,0,https://x.com/rintikmantra/status/1850903392874586614,324361034,rintikmantra
1849045764980543797,Fri Oct 25 02:17:33 +0000 2024,0,@itsquaileggs Wahai pembela Mulyono tahun depan pajak 12 persen. Hidup lu keluarga lu temen2 lu sodara lu makin susah ntar.. Masih aja puja puji. Beg hoo atau Gmn sih tuh Ngotak kagak dipake mikir apa. Udah nyusahin masih di bela. ,1849636385231339928,,itsquaileggs,in,,0,0,0,https://x.com/sasaranbina/status/1849636385231339928,2976157944,sasaranbina
